#do_sensitivity.py --input_csv sensitivity_info --bias .03 --output_dir sensitivity_output --covariate_dir ./covariates/
covariate_name,ahat,Rsqhat
MAX_VERTICAL_LEAP,0.12484618587507534,0.010452137318599758
WEIGHT,0.2809635779268129,0.006938525174215787
WINGSPAN,0.2829940721685672,0.06692708251677813
POSITION,0.09985005548994663,0.08090956732562782
