#do_sensitivity.py --input_csv sensitivity_info --bias .03 --output_dir sensitivity_output --covariate_dir ./covariates/
alpha,delta,Rsq
0.049100000000000005,0.0010123201934932127,0.08153794993786408
0.049600000000000005,0.0010015884228967106,0.08153792540600781
0.050100000000000006,0.000991070859298143,0.0815379015176453
0.050600000000000006,0.0009807611526876884,0.08153787824989232
0.051100000000000007,0.0009706532015882028,0.08153785558089069
0.05160000000000001,0.0009607411410139004,0.08153783348975195
0.05210000000000001,0.0009510193311224055,0.08153781195650615
0.0526,0.0009414823465140203,0.08153779096205346
0.0531,0.0009321249661355473,0.08153777048811772
0.0536,0.0009229421637492103,0.08153775051720448
0.0541,0.0009139290989300885,0.08153773103256041
0.0546,0.0009050811085582028,0.08153771201813527
0.0551,0.0008963936987738286,0.08153769345854706
0.055600000000000004,0.0008878625373668728,0.0815376753390481
0.056100000000000004,0.0008794834465732287,0.08153765764549253
0.056600000000000004,0.0008712523962529738,0.08153764036430981
0.057100000000000005,0.0008631654974269423,0.08153762348247226
0.057600000000000005,0.0008552189961499745,0.0815376069874726
0.058100000000000006,0.000847409267700493,0.08153759086729676
0.058600000000000006,0.000839732811067554,0.08153757511040109
0.05910000000000001,0.0008321862437177467,0.08153755970569138
0.05960000000000001,0.0008247662966254856,0.08153754464249888
0.0601,0.0008174698095513973,0.08153752991056336
0.0606,0.0008102937265544403,0.08153751550001356
0.0611,0.0008032350917243736,0.08153750140134874
0.0616,0.0007962910451220666,0.0815374876054221
0.0621,0.0007894588189159338,0.08153747410342596
0.0626,0.000782735733703507,0.08153746088687465
0.0631,0.0007761191950079174,0.08153744794759235
0.0636,0.0007696066899396202,0.0815374352776992
0.0641,0.0007631957840143498,0.08153742286959532
0.0646,0.0007568841181188834,0.08153741071595388
0.0651,0.0007506694056165911,0.08153739880970619
0.0656,0.0007445494295853674,0.08153738714402942
0.0661,0.0007385220401809432,0.08153737571234072
0.0666,0.0007325851521189241,0.08153736450828168
0.0671,0.0007267367422694559,0.08153735352571448
0.06760000000000001,0.0007209748473585883,0.08153734275870811
0.06810000000000001,0.0007152975617709356,0.08153733220153309
0.06860000000000001,0.000709703035448407,0.08153732184865092
0.06910000000000001,0.0007041894718801856,0.0815373116947089
0.06960000000000001,0.0006987551261793235,0.0815373017345302
0.07010000000000001,0.0006933983032416705,0.08153729196310852
0.07060000000000001,0.0006881173559830197,0.08153728237559987
0.07110000000000001,0.0006829106836506516,0.08153727296731814
0.07160000000000001,0.0006777767302056057,0.08153726373372679
0.07210000000000001,0.0006727139827722806,0.0815372546704352
0.0726,0.0006677209701520871,0.08153724577319138
0.0731,0.0006627962613981079,0.08153723703787755
0.0736,0.0006579384644478506,0.08153722846050421
0.0741,0.0006531462248113607,0.08153722003720608
0.0746,0.0006484182243120916,0.08153721176423813
0.0751,0.000643753179878057,0.08153720363796843
0.0756,0.0006391498423809815,0.08153719565487735
0.0761,0.0006346069955211867,0.08153718781155096
0.0766,0.0006301234547561671,0.08153718010467814
0.0771,0.00062569806627085,0.08153717253104702
0.0776,0.0006213297059876631,0.08153716508754069
0.0781,0.0006170172786146318,0.08153715777113449
0.0786,0.0006127597167298062,0.0815371505788922
0.0791,0.0006085559799004159,0.08153714350796397
0.0796,0.0006044050538352135,0.08153713655558147
0.0801,0.000600305949568578,0.08153712971905662
0.0806,0.0005962577026749774,0.08153712299577796
0.0811,0.0005922593725124952,0.08153711638320885
0.0816,0.0005883100414941599,0.08153710987888341
0.0821,0.000584408814385914,0.08153710348040574
0.0826,0.0005805548176300686,0.08153709718544692
0.08310000000000001,0.0005767471986931856,0.08153709099174199
0.08360000000000001,0.0005729851254373671,0.08153708489708962
0.08410000000000001,0.0005692677855139589,0.08153707889934746
0.08460000000000001,0.0005655943857787714,0.08153707299643284
0.08510000000000001,0.0005619641517278983,0.08153706718631883
0.08560000000000001,0.0005583763269533197,0.08153706146703332
0.08610000000000001,0.0005548301726174724,0.08153705583665795
0.08660000000000001,0.0005513249669460101,0.08153705029332374
0.08710000000000001,0.000547860004738055,0.08153704483521262
0.08760000000000001,0.000544434596893204,0.08153703946055388
0.0881,0.0005410480699546506,0.08153703416762327
0.0886,0.0005376997656677754,0.08153702895474223
0.0891,0.0005343890405535919,0.08153702382027456
0.0896,0.000531115265496485,0.08153701876262633
0.0901,0.000527877825345673,0.08153701378024561
0.0906,0.0005246761185298593,0.08153700887161912
0.0911,0.0005215095566845814,0.08153700403527213
0.0916,0.000518377564291763,0.08153699926976705
0.0921,0.0005152795783310046,0.08153699457370223
0.0926,0.0005122150479421777,0.0815369899457118
0.0931,0.0005091834340988805,0.08153698538446291
0.0936,0.0005061842092923709,0.08153698088865592
0.0941,0.0005032168572255683,0.08153697645702282
0.0946,0.0005002808725167664,0.08153697208832737
0.0951,0.0004973757604126834,0.0815369677813626
0.0956,0.0004945010365105253,0.08153696353495091
0.0961,0.0004916562264887242,0.08153695934794385
0.0966,0.0004888408658460301,0.08153695521921911
0.0971,0.00048605449964867826,0.08153695114768207
0.0976,0.00048329668228531513,0.08153694713226342
0.0981,0.0004805669772294272,0.0815369431719195
0.09860000000000001,0.00047786495680899525,0.08153693926563135
0.09910000000000001,0.0004751902019831183,0.08153693541240316
0.09960000000000001,0.00047254230212537263,0.08153693161126263
0.10010000000000001,0.00046992085481365836,0.08153692786125993
0.10060000000000001,0.0004673254656263155,0.08153692416146717
0.10110000000000001,0.0004647557479442873,0.08153692051097727
0.10160000000000001,0.00046221132275912923,0.08153691690890416
0.10210000000000001,0.0004596918184866569,0.08153691335438204
0.10260000000000001,0.00045719687078604027,0.08153690984656393
0.10310000000000001,0.00045472612238416945,0.0815369063846228
0.10360000000000001,0.00045227922290509595,0.08153690296774926
0.10410000000000001,0.00044985582870439995,0.08153689959515259
0.1046,0.0004474556027082998,0.08153689626605921
0.1051,0.0004450782142573568,0.08153689297971238
0.1056,0.0004427233389546246,0.08153688973537282
0.1061,0.00044039065851808173,0.08153688653231633
0.1066,0.000438079860637229,0.08153688336983514
0.1071,0.00043579063883369403,0.08153688024723597
0.1076,0.0004335226923257315,0.08153687716384188
0.1081,0.00043127572589647466,0.08153687411898966
0.1086,0.00042904944976582797,0.0815368711120291
0.1091,0.00042684357946589475,0.08153686814232637
0.1096,0.000424657835719792,0.08153686520925842
0.1101,0.00042249194432379054,0.08153686231221711
0.1106,0.00042034563603263485,0.08153685945060604
0.1111,0.0004182186464479701,0.08153685662384168
0.1116,0.0004161107159097634,0.08153685383135284
0.1121,0.00041402158939063047,0.08153685107257955
0.1126,0.0004119510163929818,0.08153684834697382
0.1131,0.00040989875084889446,0.08153684565399924
0.1136,0.00040786455102262355,0.08153684299312892
0.11410000000000001,0.00040584817941568895,0.08153684036384806
0.11460000000000001,0.00040384940267443466,0.08153683776565192
0.11510000000000001,0.0004018679915000026,0.08153683519804576
0.11560000000000001,0.00039990372056064366,0.08153683266054493
0.11610000000000001,0.00039795636840629195,0.0815368301526743
0.11660000000000001,0.00039602571738534025,0.08153682767396868
0.11710000000000001,0.0003941115535635414,0.08153682522397077
0.11760000000000001,0.0003922136666449898,0.08153682280223407
0.11810000000000001,0.0003903318498950967,0.0815368204083198
0.11860000000000001,0.00038846590006552266,0.0815368180417977
0.11910000000000001,0.00038661561732100056,0.08153681570224677
0.11960000000000001,0.0003847808051679872,0.0815368133892529
0.1201,0.0003829612703851071,0.08153681110241086
0.1206,0.00038115682295531865,0.08153680884132293
0.1211,0.0003793672759997645,0.08153680660559925
0.1216,0.0003775924457132535,0.08153680439485751
0.1221,0.0003758321513013245,0.08153680220872192
0.1226,0.00037408621491885727,0.08153680004682481
0.1231,0.00037235446161017,0.0815367979088041
0.1236,0.0003706367192505826,0.081536795794306
0.1241,0.00036893281848938053,0.08153679370298268
0.1246,0.0003672425926941595,0.0815367916344928
0.1251,0.0003655658778965016,0.0815367895885009
0.1256,0.0003639025127389527,0.08153678756467865
0.1261,0.00036225233842325554,0.08153678556270293
0.1266,0.00036061519865981625,0.08153678358225759
0.1271,0.00035899093961835416,0.08153678162303067
0.1276,0.0003573794098797249,0.08153677968471722
0.1281,0.00035578046038886054,0.08153677776701762
0.1286,0.00035419394440881123,0.08153677586963702
0.1291,0.0003526197174758571,0.08153677399228636
0.1296,0.0003510576373556579,0.08153677213468213
0.1301,0.00034950756400041016,0.08153677029654519
0.1306,0.0003479693595069947,0.08153676847760181
0.1311,0.0003464428880760767,0.08153676667758274
0.1316,0.00034492801597214016,0.08153676489622322
0.1321,0.0003434246114844345,0.08153676313326472
0.1326,0.0003419325448887925,0.08153676138845131
0.1331,0.00034045168841032313,0.08153675966153275
0.1336,0.000338981916186932,0.0815367579522625
0.1341,0.0003375231042336632,0.08153675626039884
0.1346,0.00033607513040783305,0.0815367545857037
0.1351,0.0003346378743749403,0.08153675292794348
0.1356,0.00033321121757532785,0.08153675128688812
0.1361,0.0003317950431915844,0.08153674966231277
0.1366,0.00033038923611665254,0.08153674805399454
0.1371,0.0003289936829226466,0.08153674646171563
0.1376,0.0003276082718303407,0.08153674488526132
0.1381,0.0003262328926793269,0.0815367433244213
0.1386,0.0003248674368988104,0.08153674177898759
0.1391,0.0003235117974790457,0.08153674024875683
0.1396,0.00032216586894337663,0.08153673873352825
0.1401,0.0003208295473208811,0.08153673723310458
0.1406,0.0003195027301195986,0.08153673574729238
0.1411,0.0003181853163003239,0.08153673427590073
0.1416,0.00031687720625095877,0.08153673281874187
0.1421,0.00031557830176140607,0.08153673137563144
0.1426,0.0003142885059989902,0.0815367299463887
0.1431,0.00031300772348438874,0.08153672853083394
0.1436,0.0003117358600680796,0.08153672712879283
0.1441,0.00031047282290726073,0.08153672574009128
0.14459999999999998,0.0003092185204432665,0.08153672436456004
0.14509999999999998,0.00030797286237943826,0.08153672300203206
0.14559999999999998,0.0003067357596594542,0.08153672165234203
0.14609999999999998,0.00030550712444610994,0.08153672031532881
0.14659999999999998,0.0003042868701005234,0.0815367189908323
0.14709999999999998,0.00030307491116177344,0.08153671767869622
0.14759999999999998,0.00030187116332694425,0.08153671637876576
0.14809999999999998,0.00030067554343158026,0.0815367150908889
0.14859999999999998,0.00029948796943053306,0.08153671381491674
0.14909999999999998,0.00029830836037919036,0.08153671255070111
0.14959999999999998,0.00029713663641508966,0.08153671129809774
0.15009999999999998,0.00029597271873989,0.08153671005696354
0.15059999999999998,0.00029481652960171057,0.08153670882715831
0.15109999999999998,0.0002936679922778142,0.08153670760854353
0.15159999999999998,0.000292527031057637,0.08153670640098284
0.15209999999999999,0.00029139357122615327,0.08153670520434278
