,g,Q,t,y
0,0.66144183806498,-0.008699885747138425,1,0.66
1,0.17942628470300806,-0.012952504061153336,0,0.759
2,0.7615590898863354,-0.04648831463002934,1,0.5479999999999999
3,0.36179202111154496,-0.013942533914706567,1,0.738
4,0.4826751351438189,0.00011270880583380549,0,0.628
5,0.07574779306058944,-0.031834242533336,0,0.5660000000000001
6,0.6512163303045267,-0.05707337871742624,1,0.738
7,0.3661027587752389,0.00011270880583380549,1,0.8109999999999999
8,0.9148023450064166,0.012413866204866841,1,0.778
9,0.12277049520007122,-0.034454991570709526,0,0.7090000000000001
10,0.03056468005820831,-0.08086650238817628,0,0.8320000000000001
11,0.3894297306195046,-0.03767572007705711,1,0.696
12,0.2027892091063188,-0.04656897780423486,0,0.746
13,0.1809571163366579,-0.019170852661116733,0,0.444
14,0.32693841175950006,-0.033421022439670045,0,0.816
15,0.10535473368301417,-0.04656897780423486,0,0.755
16,0.15464994817635366,-0.06984561024274805,0,0.774
17,0.4232938965727897,-0.03767572007705711,0,0.8140000000000001
18,0.055209099476717226,-0.036582625988960005,0,0.8029999999999999
19,0.09188862926312977,-0.031834242533336,0,0.732
20,0.02536281080431566,-0.036582625988960005,0,0.6
21,0.6005966691837444,-0.03767572007705711,1,0.5820000000000001
22,0.24166292719927707,-0.05368996286868066,0,0.765
23,0.009595382540920567,-0.05366251186907289,0,0.867
24,0.4282922718191964,0.00011270880583380549,1,0.7759999999999999
25,0.1437903142305581,-0.034454991570709526,0,0.747
26,0.1734461386624638,-0.034454991570709526,0,0.78
27,0.12532732818254302,-0.031834242533336,0,0.7070000000000001
28,0.09871894859645212,-0.031834242533336,0,0.542
29,0.16680094210486454,-0.062175426627211094,0,0.745
30,0.19128360629718041,-0.04744069135631224,0,0.8
31,0.014840856243102881,-0.05176276425642934,0,0.7859999999999999
32,0.5882295323147272,0.00011270880583380549,0,0.8320000000000001
33,0.22454693856765467,-0.022995144895999076,0,0.6940000000000001
34,0.3702102838902906,-0.02294098480615825,1,0.743
35,0.8184618221451135,0.016595559387437175,0,0.657
36,0.046748163137567904,-0.030441188659069085,0,0.818
37,0.0772586453315701,-0.02179160169849026,0,0.7
38,0.04586520338837128,-0.04588948525387637,0,0.82
39,0.4025356965669745,-0.005064980290975463,0,0.759
40,0.011538607198468257,-0.062483125095849634,0,0.81
41,0.038048658701657724,-0.03848237360160356,0,0.769
42,0.16030338371097969,-0.012952504061153336,0,0.636
43,0.06408499086776152,-0.034454991570709526,0,0.612
44,0.09360792532750442,-0.019170852661116733,0,0.687
45,0.9058586558571821,0.016595559387437175,0,0.608
46,0.13659223745067497,-0.031834242533336,0,0.716
47,0.6946956410931141,-0.07097755063270661,1,0.557
48,0.5403847226535932,0.013204042979578556,1,0.78
49,0.34322408511865216,-0.002508040231539721,0,0.636
50,0.09699558350728603,-0.031834242533336,0,0.87
51,0.8401524951481976,-0.012881578929708759,0,0.722
52,0.7052293057059302,-0.05707337871742624,1,0.742
53,0.27840789591909154,-0.01033175502377981,1,0.799
54,0.3874829574312343,-0.04485086523134374,1,0.511
55,0.014507146738144868,-0.049148883800039345,0,0.78
56,0.8151615927917324,-0.04185741325962744,1,0.6759999999999999
57,0.02936275167855309,-0.03396187695158648,0,0.748
58,0.11978327953077537,-0.06989977033258887,0,0.675
59,0.023207299608556945,-0.049148883800039345,0,0.713
60,0.7059577380261965,-0.05707337871742624,1,0.701
61,0.2171801510118811,-0.033385448635771864,0,0.887
62,0.002882985170212881,-0.06771775458961327,0,0.8370000000000001
63,0.03160657500192031,-0.04801711967212685,0,0.7509999999999999
64,0.1453021645958392,-0.034454991570709526,0,0.79
65,0.5337744228417103,0.00011270880583380549,1,0.57
66,0.00419385994241806,-0.10056713730566269,0,0.8059999999999999
67,0.2471720209130588,-0.033385448635771864,0,0.637
68,0.03197680878153661,-0.03586162456423003,0,0.7070000000000001
69,0.03245259135568882,-0.036582625988960005,0,0.74
70,0.14112290164035599,-0.04656897780423486,0,0.754
71,0.009244707363863932,-0.0934327601992555,0,0.7809999999999999
72,0.03891934554428048,-0.03848237360160356,0,0.775
73,0.6069499065981337,0.00011270880583380549,1,0.748
74,0.06584231727669379,-0.04588948525387637,0,0.797
75,0.05115964893078251,-0.036582625988960005,0,0.8440000000000001
76,0.0207234796902195,-0.05104863141268279,0,0.8079999999999999
77,0.037732290251136565,-0.036582625988960005,0,0.7959999999999999
78,0.3196311262692456,-0.04226012007700697,0,0.847
79,0.0481522267835571,-0.05131736125985886,0,0.747
80,0.15970254066461403,-0.06062422052477523,0,0.838
81,0.013778740524164675,-0.08276625000081983,0,0.799
82,0.0856301394038746,-0.031834242533336,0,0.8029999999999999
83,0.013907201784701286,-0.08276625000081983,0,0.836
84,0.05190609860226445,-0.04588948525387637,0,0.7040000000000001
85,0.10893341272086297,-0.031834242533336,0,0.841
86,0.03619145675552961,-0.03848237360160356,0,0.8029999999999999
87,0.010228312581163159,-0.09533250781189906,0,0.706
88,0.1758253590086789,-0.04656897780423486,0,0.6779999999999999
89,0.2881019494280115,-0.033385448635771864,1,0.644
90,0.043292127649100114,-0.036582625988960005,0,0.779
91,0.24385458730663043,-0.013942533914706567,1,0.667
