,g,Q,t,y
0,0.8592803028742684,-0.060647204781555164,1,0.66
1,0.4359913982288537,-0.021654301187757907,0,0.759
2,0.879010621192738,-0.060647204781555164,1,0.5479999999999999
3,0.5195451013938008,-0.032765068556602106,1,0.738
4,0.611443724241892,-0.003506747128349641,0,0.628
5,0.01857640519578817,-0.08858269608326774,0,0.5660000000000001
6,0.903454523164783,-0.050121244962147204,1,0.738
7,0.8008952570871111,-0.050121244962147204,1,0.8109999999999999
8,0.8817447448173431,0.00836361769649463,1,0.778
9,0.0373878100465227,-0.03519389358963909,0,0.7090000000000001
10,0.006228237933534608,-0.10063870954794485,0,0.8320000000000001
11,0.8061671930480411,-0.05573612389556648,1,0.696
12,0.555444854234327,0.004492495629968896,0,0.746
13,0.15309599520629605,-0.021042916535744638,0,0.444
14,0.12364193869801138,-0.025637791252288378,0,0.816
15,0.02819595828758729,-0.039137767241348875,0,0.755
16,0.09093150017007598,-0.020864733327904728,0,0.774
17,0.29600727916165176,-0.003506747128349641,0,0.8140000000000001
18,0.03337645716972089,-0.021042916535744638,0,0.8029999999999999
19,0.352190167960545,-0.015428037602325362,0,0.732
20,0.021692643615984192,-0.021042916535744638,0,0.6
21,0.8216548080329769,-0.041172902432939695,1,0.5820000000000001
22,0.18353015283601384,-0.025637791252288378,0,0.765
23,0.0009933642180062258,-0.09312880653214428,0,0.867
24,0.40298444530358374,-0.009121626061768917,1,0.7759999999999999
25,0.10114682052450281,-0.021042916535744638,0,0.747
26,0.07244498710125602,-0.021042916535744638,0,0.78
27,0.05732989390345313,-0.021042916535744638,0,0.7070000000000001
28,0.20670671122412848,-0.021042916535744638,0,0.542
29,0.03126584678950768,-0.051164361151697646,0,0.745
30,0.10304772174560514,-0.03297129295596479,0,0.8
31,0.024615055625844373,-0.0199741480512019,0,0.7859999999999999
32,0.6847600669021895,-0.003506747128349641,0,0.8320000000000001
33,0.5613754048134156,-0.0011223833034503805,0,0.6940000000000001
34,0.16260321701751287,-0.015428037602325362,1,0.743
35,0.7043309857319441,0.002502459236633725,0,0.657
36,0.0016812054876831854,-0.08858269608326774,0,0.818
37,0.11683625264939618,-0.021042916535744638,0,0.7
38,0.01206403588905313,-0.08115512476711817,0,0.82
39,0.31593760279952415,-0.009121626061768917,0,0.759
40,0.01615525324466917,-0.03751740340484133,0,0.81
41,0.010284838550469863,-0.08858269608326774,0,0.769
42,0.13655104296025708,-0.021042916535744638,0,0.636
43,0.028359276235760816,-0.03519389358963909,0,0.612
44,0.2089593859434534,-0.021042916535744638,0,0.687
45,0.8023351849941394,0.019456249480383603,0,0.608
46,0.04931754013247579,-0.03519389358963909,0,0.716
47,0.7468817714143986,-0.03469611555157803,1,0.557
48,0.1207677676227893,-0.006160104194965599,1,0.78
49,0.09951377858607491,-0.009121626061768806,0,0.636
50,0.0271062076104788,-0.08858269608326774,0,0.87
51,0.8299961987262584,-0.005745592431406821,0,0.722
52,0.7919564855411192,-0.003506747128349641,1,0.742
53,0.6601836563881945,-0.05093885401352316,1,0.799
54,0.5369407193319663,-0.025637791252288378,1,0.511
55,0.005612263476362759,-0.09312880653214428,0,0.78
56,0.9418750981299543,-0.041172902432939695,1,0.6759999999999999
57,0.0008115638070123391,-0.08858269608326774,0,0.748
58,0.07608968364954573,-0.05245487773679147,0,0.675
59,0.011747447162489653,-0.08858269608326774,0,0.713
60,0.7127079067767893,-0.003506747128349641,1,0.701
61,0.10553838773763476,-0.021042916535744638,0,0.887
62,0.0005206189740198031,-0.08570123521599471,0,0.8370000000000001
63,0.10647106310065779,-0.03297129295596479,0,0.7509999999999999
64,0.009435544505242541,-0.07314120244427946,0,0.79
65,0.49145690005965065,-0.003506747128349641,1,0.57
66,0.0005517155333392277,-0.1005026866945975,0,0.8059999999999999
67,0.46041032626965317,-0.021042916535744638,0,0.637
68,0.01005842688756299,-0.08296781714984847,0,0.7070000000000001
69,0.018078324212245457,-0.03519389358963909,0,0.74
70,0.08669212687421934,-0.015428037602325362,0,0.754
71,0.005901738718280638,-0.06586759514017182,0,0.7809999999999999
72,0.0020821174617678337,-0.08858269608326774,0,0.775
73,0.9254089546086625,-0.041172902432939695,1,0.748
74,0.009078544457244035,-0.08115512476711817,0,0.797
75,0.022501931576701734,-0.039137767241348875,0,0.8440000000000001
76,0.003319315452867623,-0.08858269608326774,0,0.8079999999999999
77,0.035378851205652526,-0.021042916535744638,0,0.7959999999999999
78,0.25134491065613235,-0.015428037602325362,0,0.847
79,0.08447868437558742,-0.021042916535744638,0,0.747
80,0.016805126398989713,-0.06571363112812989,0,0.838
81,0.0007879020923636646,-0.10063870954794485,0,0.799
82,0.022672787213789625,-0.08858269608326774,0,0.8029999999999999
83,0.0012625008266269446,-0.10063870954794496,0,0.836
84,0.03520040822594918,-0.03297129295596479,0,0.7040000000000001
85,0.013912102970585802,-0.08296781714984847,0,0.841
86,0.002356660279968595,-0.08858269608326774,0,0.8029999999999999
87,0.003976680015680233,-0.09595657624572096,0,0.706
88,0.06406171948113451,-0.029579014656219815,0,0.6779999999999999
89,0.5813955230559533,-0.01603942225433863,1,0.644
90,0.06145527714994602,-0.021042916535744638,0,0.779
91,0.19750805831279822,-0.021050002481989072,1,0.667
92,0.568846884041581,-0.015428037602325362,1,0.664
93,0.01301558461439442,-0.10063870954794485,0,0.7240000000000001
94,0.008335616831071892,-0.08115512476711817,0,0.8270000000000001
95,5.856672654696457e-05,-0.1005026866945975,0,0.762
96,0.0003725247584501947,-0.08570123521599471,0,0.743
97,0.9223479576012547,-0.043411747735996875,1,0.647
98,0.8471540097591894,-0.017460658506019855,1,0.6990000000000001
99,0.06830570946099664,-0.021042916535744638,0,0.599
100,0.1218620924195238,-0.021042916535744638,1,0.777
101,0.6335346849665784,-0.02298104947696511,1,0.723
102,0.0008176245222341978,-0.087513927598725,0,0.853
103,0.0015797623948398145,-0.10518481999682139,0,0.821
104,0.009122668722808923,-0.09595657624572096,0,0.787
105,0.6724420946070941,-0.003506747128349641,1,0.7829999999999999
106,0.025091053539179044,-0.08858269608326774,0,0.813
107,0.0026403263616051062,-0.087513927598725,0,0.795
108,0.9874558551909766,-0.029302537608095425,1,0.737
109,0.26114012731310615,-0.021042916535744638,0,0.8109999999999999
110,0.07138941478842185,-0.021042916535744638,0,0.831
111,0.01219754153389743,-0.08858269608326774,0,0.826
112,0.003323909539462042,-0.08858269608326774,0,0.638
113,0.10964319056516515,-0.007831109476675091,0,0.777
114,0.15378454691460428,-0.021042916535744638,0,0.649
115,0.9893290203605385,-0.029302537608095425,1,0.642
116,0.001217261199938953,-0.09312880653214428,0,0.907
117,0.04646973144197405,-0.021042916535744638,0,0.721
118,0.20167187753706625,-0.021042916535744638,1,0.585
119,0.025262711034041995,-0.0335228883079296,0,0.8420000000000001
120,0.5043785317668198,-0.011050912204254026,1,0.778
121,0.026852463960325156,-0.047122270009859246,0,0.833
122,0.7961379704153579,-0.041172902432939695,1,0.732
123,0.16148293661539723,-0.021042916535744638,0,0.606
124,0.32509266742973325,-0.015428037602325362,0,0.769
125,0.0030190897491932924,-0.09595657624572096,0,0.728
126,0.04535617742536281,-0.05245487773679147,0,0.627
127,0.024569229985651926,-0.0503286287246798,0,0.627
128,0.04535617742536281,-0.05245487773679147,0,0.627
129,0.024569229985651926,-0.0503286287246798,0,0.627
130,0.6689720639905165,-0.05655373294694244,0,0.772
131,0.00022956448644837488,-0.087513927598725,0,0.847
132,0.8566646049411848,-0.043411747735996875,0,0.7859999999999999
133,0.9963876943427685,-0.029302537608095647,1,0.467
134,0.7214206132644899,0.07755624948038398,0,0.375
135,0.0027745142639086346,-0.09312880653214428,0,0.669
136,0.030633013626331747,-0.023696273602360596,0,0.7559999999999999
137,0.024256553530649875,-0.03519389358963909,0,0.711
138,0.0064326779635240205,-0.087513927598725,0,0.8240000000000001
139,0.04790085167053273,-0.03297129295596479,0,0.66
140,0.9691093622006163,-0.018209905824206563,1,0.47
141,0.02981468652538551,-0.06752632351086019,0,0.732
142,0.007732941927547367,-0.08858269608326774,0,0.784
143,0.1405805052061564,-0.02434727466719455,0,0.8029999999999999
144,0.012023559705983022,-0.09595657624572096,0,0.5589999999999999
145,0.7148974801429399,-0.03574059031347554,1,0.883
146,0.006813314894273721,-0.08858269608326774,0,0.843
147,0.0012643409700968757,-0.087513927598725,0,0.772
148,0.8648053619852221,-0.041172902432939695,1,0.625
149,0.08210837575928158,-0.021042916535744638,0,0.797
150,0.007039891630099976,-0.09312880653214428,0,0.768
151,0.024975606706940153,-0.07314120244427946,0,0.785
152,0.7938867334285598,-0.005745592431406821,0,0.528
153,0.1616827356924751,-0.015428037602325362,0,0.757
154,0.03748776001894856,-0.021042916535744638,0,0.764
155,0.9424781930128299,-0.024071064284067356,1,0.557
156,0.21395313548062503,-0.021042916535744638,0,0.654
157,0.0003070613950988223,-0.1005026866945975,0,0.7390000000000001
158,0.7594754371323653,-0.04678778136635897,1,0.664
159,0.0038200256057342413,-0.08296781714984847,0,0.79
160,0.012073777870124442,-0.039137767241348875,0,0.753
161,0.006484966590211866,-0.09312880653214428,0,0.84
162,0.7303342369670106,-0.05573612389556648,1,0.603
163,0.693726545430109,0.005310104681344852,1,0.603
164,0.7303342369670106,-0.05573612389556648,1,0.603
165,0.693726545430109,0.005310104681344852,1,0.603
166,0.1385168784776509,-0.021042916535744638,0,0.7290000000000001
